ITE_CODIGO	ITE_NOME	ITE_GRUPO
1	CADERNO	ESCOLAR
2	LÁPIS	ESCOLAR
3	BORRACHA	ESCOLAR
4	SABONETE	HIGIENE
5	SHAMPOO	HIGIENE
6	ESCOVA DE DENTES	HIGIENE
7	FIO DENTAL	HIGIENE
8	DESINFETANTE	LIMPEZA
9	VASSOURA	LIMPEZA
10	SABÃO EM PÓ	LIMPEZA
11	DETERGENTE	LIMPEZA
12	PALHA DE AÇO	LIMPEZA
13	ESPONJA	LIMPEZA
14	ÁGUA SANITÁRIA	LIMPEZA
15	ESTOPA	LIMPEZA
16	LIMPA VIDROS	LIMPEZA
17	CANETA	ESCOLAR
18	ESTOJO	ESCOLAR
19	TINTA	ESCOLAR
20	CARTOLINA	ESCOLAR
21	TESOURA	ESCOLAR
22	COLA BRANCA	ESCOLAR
23	COLECIONADOR	ESCOLAR
24	PASTA DE DENTES	HIGIENE
25	PAPEL HIGIÊNICO	HIGIENE
26	CONDICIONADOR	HIGIENE
27	FITA CREPE	ESCOLAR
